axis;C. Powers;C. Powers;C. Powers;;C. Powers;;;;;;;;;x
allies;T. Enténte;T. Enténte;T. Enténte;;T. Enténte;;;;;;;;;x
suseptibility_axis;Susceptibility to C. Powers;Susceptibility to C. Powers;Susceptibility to C. Powers;;Susceptibility to C. Powers;;;;;;;;;x
suseptibility_allies;Susceptibility to T. Enténte;Susceptibility to T. Enténte;Susceptibility to T. Enténte;;Susceptibility to T. Enténte;;;;;;;;;x
LOADING_MAP_SPRITES;It takes 15,000 casualties to train a major general.\n- Ferdinand Foch;It takes 15,000 casualties to train a major general.\n- Ferdinand Foch;It takes 15,000 casualties to train a major general.\n- Ferdinand Foch;;It takes 15,000 casualties to train a major general.\n- Ferdinand Foch;;;;;;;;;x
LOADING_GUI_DEF;It takes 15,000 casualties to train a major general.\n- Ferdinand Foch;It takes 15,000 casualties to train a major general.\n- Ferdinand Foch;It takes 15,000 casualties to train a major general.\n- Ferdinand Foch;;It takes 15,000 casualties to train a major general.\n- Ferdinand Foch;;;;;;;;;x
LOADING_DATABASES;It takes 15,000 casualties to train a major general.\n- Ferdinand Foch;It takes 15,000 casualties to train a major general.\n- Ferdinand Foch;It takes 15,000 casualties to train a major general.\n- Ferdinand Foch;;It takes 15,000 casualties to train a major general.\n- Ferdinand Foch;;;;;;;;;x
LOADING_DATABASES2;It takes 15,000 casualties to train a major general.\n- Ferdinand Foch;It takes 15,000 casualties to train a major general.\n- Ferdinand Foch;It takes 15,000 casualties to train a major general.\n- Ferdinand Foch;;It takes 15,000 casualties to train a major general.\n- Ferdinand Foch;;;;;;;;;x
INIT_MAP_LOGIC;It takes 15,000 casualties to train a major general.\n- Ferdinand Foch;It takes 15,000 casualties to train a major general.\n- Ferdinand Foch;It takes 15,000 casualties to train a major general.\n- Ferdinand Foch;;It takes 15,000 casualties to train a major general.\n- Ferdinand Foch;;;;;;;;;x
CREATING_CHKSUM;You will be home before the leaves have fallen from the trees.\n-Kaiser Wilhelm II, August 1914;You will be home before the leaves have fallen from the trees.\n-Kaiser Wilhelm II, August 1914;You will be home before the leaves have fallen from the trees.\n-Kaiser Wilhelm II, August 1914;;You will be home before the leaves have fallen from the trees.\n-Kaiser Wilhelm II, August 1914;;;;;;;;;x
LOADING_HISTORY;You will be home before the leaves have fallen from the trees.\n-Kaiser Wilhelm II, August 1914;You will be home before the leaves have fallen from the trees.\n-Kaiser Wilhelm II, August 1914;You will be home before the leaves have fallen from the trees.\n-Kaiser Wilhelm II, August 1914;;You will be home before the leaves have fallen from the trees.\n-Kaiser Wilhelm II, August 1914;;;;;;;;;x
LOADING_SOUNDS;You will be home before the leaves have fallen from the trees.\n-Kaiser Wilhelm II, August 1914;You will be home before the leaves have fallen from the trees.\n-Kaiser Wilhelm II, August 1914;You will be home before the leaves have fallen from the trees.\n-Kaiser Wilhelm II, August 1914;;You will be home before the leaves have fallen from the trees.\n-Kaiser Wilhelm II, August 1914;;;;;;;;;x
PROC_FLAGS;You will be home before the leaves have fallen from the trees.\n-Kaiser Wilhelm II, August 1914;You will be home before the leaves have fallen from the trees.\n-Kaiser Wilhelm II, August 1914;You will be home before the leaves have fallen from the trees.\n-Kaiser Wilhelm II, August 1914;;You will be home before the leaves have fallen from the trees.\n-Kaiser Wilhelm II, August 1914;;;;;;;;;x
LOAD_FLAGS;You will be home before the leaves have fallen from the trees.\n-Kaiser Wilhelm II, August 1914;You will be home before the leaves have fallen from the trees.\n-Kaiser Wilhelm II, August 1914;You will be home before the leaves have fallen from the trees.\n-Kaiser Wilhelm II, August 1914;;You will be home before the leaves have fallen from the trees.\n-Kaiser Wilhelm II, August 1914;;;;;;;;;x
LOAD_GFX;You will be home before the leaves have fallen from the trees.\n-Kaiser Wilhelm II, August 1914;You will be home before the leaves have fallen from the trees.\n-Kaiser Wilhelm II, August 1914;You will be home before the leaves have fallen from the trees.\n-Kaiser Wilhelm II, August 1914;;You will be home before the leaves have fallen from the trees.\n-Kaiser Wilhelm II, August 1914;;;;;;;;;x
